#X Ampl [mV]     # Y Trigger [mV]  #dxsigmaAmpl[mV]    #dy sigmaTrigger [mV]
300                   271             5                           3
325                   296             5                           3             
350                   316             5                           3
375                   333             5                           3
400                   360             5                           3
425                   389             5                           3
450                   406             5                           3
475                   424             5                           3
500                   449             5                           3
633                   580             5                           3

