#X Ampl [mV]     # Y Trigger [mV]  #dxsigmaAmpl[mV]    #dy sigmaTrigger [mV]
300                  268             5                           3
325                  287             5                           3             
350                  310             5                           3
375                  334             5                           3
400                  355             5                           3
425                  380             5                           3
450                  408             5                           3
475                  426             5                           3
500                  451             5                           3
633                  574             5                           3

