#X Ampl [mV]     # Y Trigger [mV]  #dxsigmaAmpl[mV]    #dy sigmaTrigger [mV]
300                  263             5                           3
325                  288             5                           3             
350                  314             5                           3
375                  328             5                           3
400                  354             5                           3
425                  379             5                           3
450                  399             5                           3
475                  419             5                           3
500                  444             5                           3
645                  576             5                           3

