#X Ampl [mV]     # Y Trigger [mV]  #dxsigmaAmpl[mV]    #dy sigmaTrigger [mV]
300                  266             5                           3
325                  290             5                           3             
350                  307             5                           3
375                  324             5                           3
400                  354             5                           3
425                  381             5                           3
450                  401             5                           3
475                  417             5                           3
500                  444             5                           3
633                  575             5                           3

