#X Ampl [mV]     # Y Trigger [mV]  #dxsigmaAmpl[mV]    #dy sigmaTrigger [mV]
300                  263             5                           3
325                  289             5                           3             
350                  312             5                           3
375                  331             5                           3
400                  355             5                           3
425                  380             5                           3
450                  399             5                           3
475                  417             5                           3
500                  444             5                           3
575                  513             5                           3

