#X Ampl [mV]     # Y Trigger [mV]  #dxsigmaAmpl[mV]    #dy sigmaTrigger [mV]
300                  270             5                           3
325                  290             5                           3
350                  312             5                           3
375                  335             5                           3
400                  361             5                           3
425                  381             5                           3
450                  408             5                           3
475                  432             5                           3
500                  452             5                           3
633                  575             5                           3
