#X Ampl [mV]     # Y Trigger [mV]  #dxsigmaAmpl[mV]    #dy sigmaTrigger [mV]
300                  266             5                           3
325                  294             5                           3             
350                  311             5                           3
375                  330             5                           3
400                  357             5                           3
425                  386             5                           3
450                  401             5                           3
475                  419             5                           3
500                  446             5                           3
633                  575             5                           3

