#X Ampl [mV]     # Y Trigger [mV]  #dxsigmaAmpl[mV]    #dy sigmaTrigger [mV]
300                  261             5                           3
325                  288             5                           3             
350                  307             5                           3
375                  318             5                           3
400                  351             5                           3
425                  374             5                           3
450                  397             5                           3
475                  419             5                           3
500                  442             5                           3
645                  575             5                           3

